Player_Id,Year,Rnd,Pick,Tm,Player,Pos,Position.Standard,First4AV,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TDs,Rec,Rec_Yds,Rec_Tds,Tkl,Def_Int,Sk,Official.Name,LONGITUDE,LATITUDE
RichDa00,2012,7,252,STL,Daryl Richardson,RB,RB,7,22,2016,0,0,0,7,7,27,NA,NA,NA,NA,NA,169,697,0,38,284,0,NA,NA,,Abilene Christian University,-99.70954,32.46915
MannDa21,2006,2,42,CHI,Danieal Manning,DB,DB,26,24,2014,0,0,6,37,22,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434,11,4,Abilene Christian University,-99.70954,32.46915
GateCl00,2011,4,111,MIA,Clyde Gates,WR,WR,3,25,2013,0,0,0,3,0,32,NA,NA,NA,NA,NA,2,16,0,30,365,0,3,NA,,Abilene Christian University,-99.70954,32.46915
RussSt20,1995,7,218,DEN,Steve Russ,LB,LB,1,23,2000,0,0,0,1,1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,United States Air Force Academy,-104.888747,39.011073
FishBr20,1999,7,248,BUF,Bryce Fisher,DE,DE,19,22,2007,0,0,3,26,2,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,NA,26.5,United States Air Force Academy,-104.888747,39.011073
,1997,6,178,SDG,Daniel Palmer,C,C,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,United States Air Force Academy,-104.888747,39.011073
TaylJa03,1997,3,73,MIA,Jason Taylor,DE,DE,59,23,2011,3,6,12,119,112,233,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,525,8,139.5,University of Akron Main Campus,-81.510328,41.077768
SmitDw20,2001,3,84,TAM,Dwight Smith,DB,DB,25,23,2008,0,0,5,34,18,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393,22,2,University of Akron Main Campus,-81.510328,41.077768
SchiJa20,2002,5,151,TEN,Jake Schifino,WR,WR,0,22,2004,0,0,0,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,NA,,University of Akron Main Campus,-81.510328,41.077768
HixoDo00,2006,4,130,DEN,Domenik Hixon,WR,WR,11,21,2013,0,0,0,17,0,76,NA,NA,NA,NA,NA,3,18,0,109,1460,7,29,NA,,University of Akron Main Campus,-81.510328,41.077768
FryeCh00,2005,3,67,CLE,Charlie Frye,QB,QB,8,24,2009,0,0,1,8,7,26,419,676,4154,17,29,72,347,4,NA,NA,NA,1,NA,,University of Akron Main Campus,-81.510328,41.077768
CornRe99,2008,4,114,BUF,Reggie Corner,DB,DB,8,24,2011,0,0,0,8,8,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,2,1,University of Akron Main Campus,-81.510328,41.077768
AlleAn20,2007,3,88,NOR,Andy Alleman,G,G,5,23,2009,0,0,0,5,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,University of Akron Main Campus,-81.510328,41.077768
WhitRo00,2005,1,27,ATL,Roddy White,WR,WR,46,23,2015,1,4,10,88,88,171,NA,NA,NA,NA,NA,9,19,0,808,10863,63,25,NA,,University of Alabama at Birmingham,-86.80917,33.50223
WebbJo00,2010,6,199,MIN,Joe Webb,WR,WR,4,23,2016,0,0,0,4,4,64,88,152,853,3,5,42,272,4,8,61,0,4,NA,,University of Alabama at Birmingham,-86.80917,33.50223
ThomBr21,2002,1,22,NYJ,Bryan Thomas,DE,DE,23,23,2012,0,0,7,52,52,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,33.5,University of Alabama at Birmingham,-86.80917,33.50223
SidnDa20,1998,3,77,TEN,Dainon Sidney,DB,DB,4,23,2003,0,0,0,4,4,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,6,,University of Alabama at Birmingham,-86.80917,33.50223
ReesIz20,1998,6,188,DAL,Izell Reese,DB,DB,14,24,2004,0,0,3,19,7,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,8,3.5,University of Alabama at Birmingham,-86.80917,33.50223
NelsJJ00,2015,5,159,ARI,JJ Nelson,WR,WR,3,23,2016,0,0,0,3,3,20,NA,NA,NA,NA,NA,4,27,0,29,542,4,NA,NA,,University of Alabama at Birmingham,-86.80917,33.50223
LeveOt20,2001,6,187,MIA,Otis Leverette,DE,DE,3,23,2004,0,0,0,3,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1,2,University of Alabama at Birmingham,-86.80917,33.50223
FreeEd20,2002,2,43,KAN,Eddie Freeman,DE,DE,1,24,2003,0,0,0,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,4,University of Alabama at Birmingham,-86.80917,33.50223
DaviPe21,1999,7,251,PHI,Pernell Davis,DT,DT,0,23,1999,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,University of Alabama at Birmingham,-86.80917,33.50223
BrooRo20,2000,7,238,IND,Rodregis Brooks,DB,DB,0,22,2001,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,University of Alabama at Birmingham,-86.80917,33.50223
BackKe00,2015,6,213,GNB,Kennard Backman,TE,TE,0,22,2015,0,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,University of Alabama at Birmingham,-86.80917,33.50223
YeldT.00,2015,2,36,JAX,T.J. Yeldon,RB,RB,0,21,2016,0,0,2,7,7,22,NA,NA,NA,NA,NA,265,1041,3,70,496,2,NA,NA,,The University of Alabama,-87.545766,33.2144
WortCo20,2005,7,235,SEA,Cornelius Wortham,LB,LB,1,23,2005,0,0,0,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,The University of Alabama,-87.545766,33.2144
WillSh00,1995,2,46,DAL,Sherman Williams,RB,RB,11,22,1999,0,0,0,10,10,60,0,1,0,0,0,302,1162,4,40,332,0,NA,NA,,The University of Alabama,-87.545766,33.2144
WillMi06,2013,7,211,DET,Michael Williams,TE,TE,0,23,2015,0,0,0,0,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,3,26,0,NA,NA,,The University of Alabama,-87.545766,33.2144
WillJe02,2013,5,137,SEA,Jesse Williams,DT,DT,0,22,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,The University of Alabama,-87.545766,33.2144
WarmCh00,2013,1,10,TEN,Chance Warmack,G,G,19,22,2016,0,0,3,18,18,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,,The University of Alabama,-87.545766,33.2144
UpshCo00,2012,2,35,BAL,Courtney Upshaw,LB,LB,23,22,2016,0,0,4,21,21,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,5,The University of Alabama,-87.545766,33.2144
TownDe20,1998,4,117,PIT,Deshea Townsend,DB,DB,7,23,2010,0,0,3,38,38,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,377,21,15.5,The University of Alabama,-87.545766,33.2144
SunsVi00,2014,5,167,NOR,Vinnie Sunseri,DB,DB,0,22,2014,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,,The University of Alabama,-87.545766,33.2144
StinEd00,2014,5,160,ARI,Ed Stinson,DE,DE,4,24,2016,0,0,0,4,4,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,1,The University of Alabama,-87.545766,33.2144
StatRa20,1997,7,236,BAL,Ralph Staten,DB,DB,4,22,1998,0,0,0,4,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,5,1,The University of Alabama,-87.545766,33.2144
SmitKe23,2001,3,81,NOR,Kenny Smith,DT,DT,8,24,2009,0,0,0,8,8,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,4.5,The University of Alabama,-87.545766,33.2144
SmilJu20,2004,2,46,SFO,Justin Smiley,G,G,25,22,2010,0,0,5,30,16,88,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,,The University of Alabama,-87.545766,33.2144
SmelBr00,2012,7,247,CLE,Brad Smelley,TE,TE,0,23,2013,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,NA,NA,,The University of Alabama,-87.545766,33.2144
