College/Univ,Official Name,,
Abilene Christian,Abilene Christian University,,https://upload.wikimedia.org/wikipedia/en/9/95/Abilene_Christian_Wildcats_Primary_Logo.png
Air Force,United States Air Force Academy,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Air_Force_Falcons_logo.svg/200px-Air_Force_Falcons_logo.svg.png
Akron,University of Akron Main Campus,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Akron_Zips_logo.svg/276px-Akron_Zips_logo.svg.png
Ala-Birmingham,University of Alabama at Birmingham,,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/UAB_Blazers_Logo.svg/1200px-UAB_Blazers_Logo.svg.png
Alabama,The University of Alabama,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Alabama_Crimson_Tide_Logo.svg/91px-Alabama_Crimson_Tide_Logo.svg.png
Alabama A&M,Alabama A & M University,,https://upload.wikimedia.org/wikipedia/commons/3/38/AL_Ag_Mech_Univ_logo.png
Alabama St.,Alabama State University,,https://upload.wikimedia.org/wikipedia/en/c/c0/AlabamaStateHornets.png
Albany,SUNY at Albany,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/University_at_Albany%2C_SUNY_Seal.svg/435px-University_at_Albany%2C_SUNY_Seal.svg.png
Albany (NY),SUNY at Albany,,https://upload.wikimedia.org/wikipedia/en/thumb/1/1b/University_at_Albany%2C_SUNY_Seal.svg/435px-University_at_Albany%2C_SUNY_Seal.svg.png
Albany State (GA),Albany State University,,https://upload.wikimedia.org/wikipedia/en/c/c9/Albany_State_University_Golden_Rams_%28logo%29.png
Albion,Albion College,,https://upload.wikimedia.org/wikipedia/en/0/0d/Albion_College_Shield.png
Alcorn St.,Alcorn State University,,https://upload.wikimedia.org/wikipedia/commons/6/6a/Alcorn.png
Angelo State (TX),Angelo State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Angelo_State_University_logo.svg/188px-Angelo_State_University_logo.svg.png
Appalachian St.,Appalachian State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png
Arizona,University of Arizona,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/University_of_Arizona_Block_A.svg/512px-University_of_Arizona_Block_A.svg.png
Arizona St.,Arizona State University-Tempe,,http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png
Ark-Pine Bluff,University of Arkansas at Pine Bluff,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Arkansas%E2%80%93Pine_Bluff_Golden_Lions_wordmark.svg/268px-Arkansas%E2%80%93Pine_Bluff_Golden_Lions_wordmark.svg.png
Arkansas,University of Arkansas,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arkansas_Razorbacks_logo.svg/150px-Arkansas_Razorbacks_logo.svg.png
Arkansas A&M,Alabama A & M University,,
Arkansas St.,Arkansas State University-Main Campus,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Arkansas_State_Red_Wolves_wordmark.svg/317px-Arkansas_State_Red_Wolves_wordmark.svg.png
Army,United States Military Academy,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Army_West_Point_logo.svg/252px-Army_West_Point_logo.svg.png
Ashland,Ashland University,,https://upload.wikimedia.org/wikipedia/en/thumb/9/92/Ashland_Eagles_logo.svg/198px-Ashland_Eagles_logo.svg.png
Auburn,Auburn University,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/AuburnTigers.svg/202px-AuburnTigers.svg.png
Augustana (SD),Augustana College,,https://upload.wikimedia.org/wikipedia/en/7/7d/AugustanaVikings.png
Austin Peay St.,Austin Peay State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Austin_Peay_Athletics_logo.svg/200px-Austin_Peay_Athletics_logo.svg.png
Ball St.,Ball State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Ball_State_Athletics_wordmark.png/200px-Ball_State_Athletics_wordmark.png
Baylor,Baylor University,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Baylor_Athletics_logo.svg/100px-Baylor_Athletics_logo.svg.png
Bentley,Bentley University,,https://upload.wikimedia.org/wikipedia/en/thumb/1/15/Bentley_University_seal.svg/150px-Bentley_University_seal.svg.png
Bethune-Cookman,Bethune-Cookman University,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Bethune_Cookman_Wildcats_Script_Logo.png/150px-Bethune_Cookman_Wildcats_Script_Logo.png
Bloomsburg,Bloomsburg University of Pennsylvania,,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/BU_Huskies_logo.png/150px-BU_Huskies_logo.png
Boise St.,Boise State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Boise_State_%22B%22_logo.svg/150px-Boise_State_%22B%22_logo.svg.png
Boston Col.,Boston College,,http://cdn.bleacherreport.net/images/team_logos/328x328/boston_college_football.png
Bowling Green,Bowling Green State University-Main Campus,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Bowling_Green_Falcons_wordmark.svg/250px-Bowling_Green_Falcons_wordmark.svg.png
Brown,Brown University,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Brown_Bears_wordmark.png/100px-Brown_Bears_wordmark.png
Buffalo,University at Buffalo,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/University_at_Buffalo_Interlocking_UB_logo.svg/150px-University_at_Buffalo_Interlocking_UB_logo.svg.png
Butte JC (CA),Butte College,,https://upload.wikimedia.org/wikipedia/en/1/18/BC_logo.jpg
BYU,Brigham Young University-Provo,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/BYU_Athletic_Logo.svg/120px-BYU_Athletic_Logo.svg.png
C.W. Post,LIU Post,,https://upload.wikimedia.org/wikipedia/en/8/8a/PostPioneers.png
Cal Poly-San Luis Obispo,California Polytechnic State University-San Luis Obispo,,
Cal Poly-SLO,California Polytechnic State University-San Luis Obispo,,
Cal State-Sacramento,California State University-Sacramento,,https://upload.wikimedia.org/wikipedia/en/thumb/b/b1/Sacramento_State_Hornets_Logo.svg/150px-Sacramento_State_Hornets_Logo.svg.png
California,University of California-Berkeley,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/University_of_California%2C_Berkeley_athletic_logo.svg/125px-University_of_California%2C_Berkeley_athletic_logo.svg.png
California (PA),California University of Pennsylvania,,https://upload.wikimedia.org/wikipedia/en/f/fa/California_University_of_Pennsylvania_%28emblem%29.png
California-Davis,University of California-Davis,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/UC_Davis_Aggies_wordmark.svg/250px-UC_Davis_Aggies_wordmark.svg.png
Central Arkansas,University of Central Arkansas,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Central_Arkansas_Athletics_wordmark.svg/250px-Central_Arkansas_Athletics_wordmark.svg.png
Central Connecticut St.,Central Connecticut State University,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Central_Connecticut_Blue_Devils_wordmark.png/250px-Central_Connecticut_Blue_Devils_wordmark.png
Central Florida,University of Central Florida,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/UCF_Knights_logo.svg/125px-UCF_Knights_logo.svg.png
