INSTNM,LONGITUD,LATITUDE
A & W Healthcare Educators,-90.011931,30.0275
A T Still University of Health Sciences,-92.589183,40.193648
Aaniiih Nakoda College,-108.78364,48.53309
Aaron's Academy of Beauty,-76.901993,38.611356
ABC Beauty Academy,-96.684271,32.92981
ABC Beauty College Inc,-93.080831,34.12018
ABCO Technology,-118.394891,33.97882
Abcott Institute,-83.210611,42.44639
Abdill Career College Inc,-122.863924,42.328085
Abilene Christian University,-99.70954,32.46915
Abington Memorial Hospital Dixon School of Nursing,-75.130073,40.161091
Abraham Baldwin Agricultural College,-83.528281,31.481889
Academia Serrant Inc,-66.614318,18.006327
Academy College,-93.299681,44.85621
Academy Di Capelli-School of Cosmetology,-72.806897,41.489905
Academy di Firenze,-114.519781,42.72382
Academy for Careers and Technology,-79.326868,34.188895
Academy for Five Element Acupuncture,-82.321994,29.650075
Academy for Jewish Religion-California,-118.293261,34.06089
Academy for Nursing and Health Occupations,-80.121497,26.70653
Academy for Salon Professionals,-118.605361,34.22211
Academy for Salon Professionals,-121.963421,37.35176
Academy of Art University,-122.400686,37.787748
Academy of Career Training,-81.439569,28.306092
Academy of Careers and Technology,-81.168609,37.799775
Academy of Chinese Culture and Health Sciences,-122.272733,37.806662
Academy of Cosmetology,-119.276251,46.28844
Academy of Cosmetology,-89.048961,42.679705
Academy of Cosmetology,-80.70372,28.394053
Academy of Cosmetology,-111.039768,45.680504
Academy of Cosmetology and Esthetics NYC,-74.114451,40.57328
Academy of Couture Art,-118.375621,34.06463
Academy of Esthetics and Cosmetology,-118.444038,34.284868
Academy of Hair Design-Beaumont,-94.121696,30.068432
Academy of Hair Design-Grenada,-89.823781,33.775555
Academy of Hair Design-Jackson,-90.210517,32.282646
Academy of Hair Design-Jasper,-94.006928,30.908202
Academy of Hair Design-Las Vegas,-115.191801,36.160105
Academy of Hair Design-Lufkin,-94.718537,31.331837
Academy of Hair Design-Oklahoma City,-97.564828,35.349359
Academy of Hair Design-Pearl,-90.115129,32.281983
Academy of Hair Design-Salem,-123.039591,44.941673
Academy of Hair Design-Springfield,-93.263613,37.179756
Academy of Hair Technology,-82.330849,34.87267
Academy of Interactive Entertainment,-92.043361,30.22001
Academy of Interactive Entertainment,-122.355081,47.62192
Academy of Massage and Bodywork,-75.667515,39.628597
Academy of Natural Therapy Inc,-104.668812,40.425601
Academy of Palm Beach,-80.113108,26.631072
Academy of Professional Cosmetology,-94.157331,36.35511
Academy of Salon and Spa,-94.416327,35.380891
Academy of Salon Professionals,-93.250986,38.690856
Academy of Vocal Arts,-75.173683,39.947863
Acaydia School of Aesthetics,-111.658171,40.23479
Access Careers,-73.615231,40.70938
Access Careers,-73.984111,40.68946
Ace Computer Training Center,-73.843281,40.715882
Ace Cosmetology and Barber Training Center,-72.987869,41.594114
Acupuncture and Integrative Medicine College-Berkeley,-122.267636,37.862754
Acupuncture and Massage College,-80.3645,25.68625
Adams State University,-105.880943,37.477238
Adelphi University,-73.653321,40.721439
Adirondack Beauty School,-73.630352,43.317954
Adirondack Community College,-73.655014,43.353441
Adler Graduate School,-93.252532,44.862865
Adler University,-87.628651,41.88232
Adrian College,-84.059947,41.898449
Adrian's College of Beauty Turlock,-120.863441,37.492628
Adult and Community Education-Hudson,-82.980603,40.012851
Adult and Continuing Education-BCTS,-74.033997,40.901784
Advance Beauty College,-117.952584,33.759869
Advance Beauty Techs Academy,-116.971539,33.795867
Advance Science Institute,-80.306989,25.855598
Advance Tech College,-66.154213,18.398241
Advanced Barber College and Hair Design,-97.958247,26.131543
Advanced Beauty College,-96.992081,32.859535
Advanced Career Institute,-119.385592,36.344397
Advanced College,-118.15794,33.915383
Advanced College of Cosmetology,-88.736121,43.63283
Advanced Computing Institute,-118.299299,34.061731
Advanced Institute of Hair Design-Glendale,-87.916376,43.12092
Advanced Institute of Hair Design-Madison,-89.399026,43.072676
Advanced Technical Centers,-80.2871,25.806645
Advanced Technology Institute,-76.182939,36.841029
Advanced Training Associates,-116.981366,32.819524
Advanced Training Institute,-115.206821,36.09589
Advanced Welding Institute,-73.139437,44.45588
Adventist University of Health Sciences,-81.367687,28.576142
Advertising Art Educational Services DBA School of Advertising Art,-84.134435,39.680848
Aerosim Flight Academy,-81.251481,28.77838
Aesthetic Science Institute,-73.822225,42.771267
Aesthetics Institute of Cosmetology,-77.204631,39.15351
Agnes Scott College,-84.29563,33.769996
AI Miami International University of Art and Design,-80.18839,25.790008
AIB College of Business,-93.645694,41.561953
Aiken School of Cosmetology,-81.717101,33.55951
Aiken Technical College,-81.842423,33.533633
Ailano School of Cosmetology,-71.043484,42.071117
Aims Community College,-104.764335,40.409037
Air Force Institute of Technology-Graduate School of Engineering & Management,-84.087246,39.780663
Akron Institute of Herzing University,-81.493109,41.02817
