"Official.Name","n","LONGITUDE","LATITUDE","College.Univ","X","X.1","Player","Year","Rnd","Pos"
"Abilene Christian University",4,"-99.70954","32.46915","Abilene Christian",NA,"https://upload.wikimedia.org/wikipedia/en/9/95/Abilene_Christian_Wildcats_Primary_Logo.png","Daryl Richardson",2012,7,"RB"
"Abilene Christian University",4,"-99.70954","32.46915","Abilene Christian",NA,"https://upload.wikimedia.org/wikipedia/en/9/95/Abilene_Christian_Wildcats_Primary_Logo.png","Danieal Manning",2006,2,"DB"
"Abilene Christian University",4,"-99.70954","32.46915","Abilene Christian",NA,"https://upload.wikimedia.org/wikipedia/en/9/95/Abilene_Christian_Wildcats_Primary_Logo.png","Clyde Gates",2011,4,"WR"
"Alabama A & M University",6,"-86.568502","34.783368","Alabama A&M",NA,"https://upload.wikimedia.org/wikipedia/commons/3/38/AL_Ag_Mech_Univ_logo.png","Frank Kearse",2011,7,"DT"
"Alabama State University",7,"-86.295677","32.364317","Alabama St.",NA,"https://upload.wikimedia.org/wikipedia/en/c/c0/AlabamaStateHornets.png","Tarvaris Jackson",2006,2,"QB"
"Alabama State University",7,"-86.295677","32.364317","Alabama St.",NA,"https://upload.wikimedia.org/wikipedia/en/c/c0/AlabamaStateHornets.png","Michael Coe",2007,5,"DB"
"Albany State University",3,"-84.14306","31.571395","Albany State (GA)",NA,"https://upload.wikimedia.org/wikipedia/en/c/c9/Albany_State_University_Golden_Rams_%28logo%29.png",NA,NA,NA,NA
"Albion College",1,"-84.746088","42.244603","Albion",NA,"https://upload.wikimedia.org/wikipedia/en/0/0d/Albion_College_Shield.png","Chris Greenwood",2012,5,"DB"
"Alcorn State University",14,"-91.142854","31.877216","Alcorn St.",NA,"https://upload.wikimedia.org/wikipedia/commons/6/6a/Alcorn.png",NA,NA,NA,NA
"American International College",1,"-72.558507","42.112708","American Int.",NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/81/AIC_Yellow_Jackets.svg/220px-AIC_Yellow_Jackets.svg.png",NA,NA,NA,NA
"Anderson University",2,"-82.640205","34.515506","Anderson (IN)",NA,"https://upload.wikimedia.org/wikipedia/en/5/52/AndersonURavenSpiritMark.png",NA,NA,NA,NA
"Anderson University",2,"-85.662292","40.112167","Anderson (IN)",NA,"https://upload.wikimedia.org/wikipedia/en/5/52/AndersonURavenSpiritMark.png",NA,NA,NA,NA
"Angelo State University",2,"-100.466495","31.44145","Angelo St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Angelo_State_University_logo.svg/200px-Angelo_State_University_logo.svg.png",NA,NA,NA,NA
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","D.J. Smith",2011,6,"LB"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Brian Quick",2012,2,"WR"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Demetrius McCray",2013,7,"DB"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Sam Martin",2013,5,"P"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Corey Lynch",2008,6,"DB"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Mark LeGree",2011,5,"DB"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Daniel Kilgore",2011,5,"G"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Dexter Jackson",2008,2,"WR"
"Appalachian State University",18,"-81.680234","36.214844","Appalachian St.",NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Appalachian_State_Mountaineers_logo.svg/152px-Appalachian_State_Mountaineers_logo.svg.png","Armanti Edwards",2010,3,"WR"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Kyle Williams",2010,6,"WR"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Jamar Williams",2006,4,"LB"
"Arizona State University-Tempe",97,"-111.934629","33.422247","Arizona St.",NA,"http://cdn.bleacherreport.net/images/team_logos/328x328/arizona_state_football.png","Andrew Walter",2005,3,"QB"
